Gender,Age,Country,Origin,Job,Jobtype,WorkHours,Transport,CommuteDist,Income,Bikeown,Car,Bikelease,Bikeshare,Sharing01,Sharing02,Sharing03,Sharing04,Sharing05,Sharing06,SharingLocPref,DepotDist,DepotInStation,Neuroticism01,Neuroticism02,Neuroticism03,Openness01,Openness02,Openness03,Openness04,Neighbourhood01,Neighbourhood02
1,25,5,5,2,1,40,1,2,30,2,1,2,1,7,4,5,5,4,6,3,1,1,4,3,3,3,4,4,2,2,3
2,24,1,1,1,1,50,1,3,0,2,1,1,2,1,7,5,5,2,2,2,0.5,2,2,4,4,5,5,5,1,2,2
1,22,1,1,2,1,45,1,2,5,2,1,1,1,2,6,2,2,3,3,3,0,1,1,5,5,3,5,4,2,3,2
1,22,13,17,1,1,42,1,2,5,2,1,2,2,5,7,7,7,2,3,3,4,2,1,2,3,5,5,5,3,3,5
2,26,1,1,2,1,40,1,2,15,2,1,1,2,2,6,5,6,1,6,2,5,1,2,2,3,3,4,4,5,4,3
1,23,1,1,1,1,40,1,2,5,2,1,1,2,1,7,3,5,1,2,2,3,2,5,5,5,4,5,5,1,4,4
1,23,11,1,1,1,40,1,2,0,2,1,1,2,2,5,3,4,3,3,3,2,2,1,4,4,4,4,5,4,3,4
1,18,1,1,1,1,40,1,2,0,2,1,1,1,2,5,2,3,2,4,3,1,2,1,4,5,4,4,4,3,4,5
1,23,1,1,1,1,40,1,2,0,2,1,2,2,3,6,4,4,3,6,3,1,1,1,4,4,4,4,5,4,4,2
1,18,1,1,1,1,40,1,2,5,2,1,2,2,3,5,4,4,5,2,3,1,2,3,5,4,3,4,4,2,4,4
1,23,1,1,1,1,40,1,2,10,2,1,2,2,3,7,1,1,5,6,3,1,1,1,3,4,4,4,5,3,5,2
1,24,1,1,2,1,40,1,3,15,2,1,1,2,3,7,6,6,1,5,3,0,2,2,4,4,2,4,4,2,5,2
2,23,1,5,1,1,40,1,1,0,1,1,2,2,2,6,6,4,6,1,3,3,1,2,3,3,4,4,4,2,4,3
1,19,1,5,1,1,40,1,2,10,2,1,2,1,3,5,5,4,5,4,1,2,1,4,2,1,4,4,5,4,3,2
1,23,1,1,2,1,30,1,2,10,2,1,1,2,1,6,1,6,6,5,3,2,1,1,4,4,4,3,4,1,1,4
